action step time goats tigers
[grow] 193 0.16174917104378606 441 533
[predate] 194 0.1620623819517432 440 534
[predate] 195 0.1630760030163093 439 535
[predate] 196 0.16379852602416548 438 536
[predate] 197 0.1662848354803547 437 537
[die] 198 0.1666608151552428 437 536
[predate] 199 0.16723130062598582 436 537
[predate] 200 0.1678170100231385 435 538
[predate] 201 0.1729816421938416 434 539
[die] 202 0.17317854873451996 434 538
[die] 203 0.17556595848177958 434 537
[die] 204 0.17559767994247721 434 536
[grow] 205 0.17610622335927298 435 536
[grow] 206 0.17656271811907037 436 536
[die] 207 0.17955900408272976 436 535
[predate] 208 0.18040029874273678 435 536
[predate] 209 0.18110033228350303 434 537
[predate] 210 0.1813886588073955 433 538
[predate] 211 0.18193992091848085 432 539
[die] 212 0.18314499445183774 432 538
[grow] 213 0.1849018279290531 433 538
[grow] 214 0.1858278529848852 434 538
[predate] 215 0.1858855968841111 433 539
[predate] 216 0.18590692883512672 432 540
[die] 217 0.18750263681309676 432 539
[die] 218 0.18906184851985267 432 538
[die] 219 0.1892135912345575 432 537
[die] 220 0.18949715120099409 432 536
[die] 221 0.19003839607915418 432 535
[grow] 222 0.1906759464431775 433 535
[predate] 223 0.19096039707938126 432 536
[die] 224 0.19118400810517913 432 535
[die] 225 0.19170518322540142 432 534
[grow] 226 0.19289206897940123 433 534
[predate] 227 0.19403991681911184 432 535
[die] 228 0.19414338189956493 432 534
[grow] 229 0.19550088250894665 433 534
[grow] 230 0.19692638015149438 434 534
[grow] 231 0.19802697704014013 435 534
[die] 232 0.19859243592856915 435 533
[predate] 233 0.19901980710871575 434 534
[predate] 234 0.19913404367610146 433 535
[predate] 235 0.20002477780576974 432 536
[predate] 236 0.20004389045543378 431 537
[predate] 237 0.2005054784887622 430 538
[predate] 238 0.20248466725227054 429 539
[predate] 239 0.20377852319248663 428 540
[predate] 240 0.20443408794709483 427 541
[predate] 241 0.2102521752877837 426 542
[grow] 242 0.21097493131357453 427 542
[predate] 243 0.21213277629525976 426 543
[die] 244 0.21240318049392737 426 542
[die] 245 0.21302305417297213 426 541
[grow] 246 0.21366120923350376 427 541
